Problem,,,Constructive algorithm,,,Local search,,GRASP,,Known best solution or upper bound
Name,|V| or n,|E| or m,Simple Randomized or Randomized-1,Simple Greedy or Greedy-1,Semi-greedy-1(?=0.5),Simple local or local-1,,GRASP-1,,
,,,,,,No. of iterations,Average value,No. of iterations,Best value,
G1,800,19176,9621,47,11172,5,11353,30,11457,12078
G2,800,19176,9660,272,11186,5,11331,30,11453,12084
G3,800,19176,9583,88,11150,5,11339,30,11439,12077
G4,800,19176,9531,180,11210,5,11326,30,11479,N/A
G5,800,19176,9549,40,11172,5,11320,30,11449,N/A
G6,800,19176,55,-1376,1648,5,1910,30,1979,N/A
G7,800,19176,-7,-1549,1510,5,1735,30,1821,N/A
G8,800,19176,-64,-1535,1473,5,1743,30,1830,N/A
G9,800,19176,-25,-1464,1517,5,1744,30,1873,N/A
G10,800,19176,-43,-1523,1492,5,1710,30,1820,N/A
G11,800,1600,24,-396,462,5,423,30,498,627
G12,800,1600,7,-416,466,5,419,30,488,621
G13,800,1600,22,-388,478,5,435,30,506,645
G14,800,4694,2356,111,2938,5,2928,30,2989,3187
G15,800,4661,2309,78,2932,5,2903,30,2984,3169
G16,800,4672,2313,107,2934,5,2909,30,2973,3172
G17,800,4667,2331,103,2919,5,2902,30,2969,N/A
G18,800,4694,13,-729,785,5,826,30,890,N/A
G19,800,4661,-68,-805,699,5,740,30,806,N/A
G20,800,4672,-4,-762,725,5,757,30,842,N/A
G21,800,4667,-28,-710,712,5,760,30,830,N/A
G22,2000,19990,10027,39,12682,5,12805,30,12976,14123
G23,2000,19990,9970,99,12668,5,12778,30,13073,14129
G24,2000,19990,9947,20,12673,5,12806,30,12945,14131
G25,2000,19990,9996,81,12676,5,12777,30,12986,N/A
G26,2000,19990,10018,64,12729,5,12831,30,12997,N/A
G27,2000,19990,-33,-2361,2531,5,2801,30,2938,N/A
G28,2000,19990,-10,-2374,2511,5,2749,30,2889,N/A
G29,2000,19990,60,-2364,2583,5,2857,30,2988,N/A
G30,2000,19990,87,-2308,2575,5,2834,30,3011,N/A
G31,2000,19990,-48,-2400,2532,5,2790,30,2965,N/A
G32,2000,4000,22,-1014,1138,5,1040,30,1212,1560
G33,2000,4000,-6,-1074,1140,5,1030,30,1224,1537
G34,2000,4000,-26,-1028,1140,5,1043,30,1224,1541
G35,2000,11778,5885,77,7376,5,7333,30,7474,8000
G36,2000,11766,5856,101,7353,5,7336,30,7474,7996
G37,2000,11785,5859,53,7360,5,7349,30,7474,8009
G38,2000,11779,5902,43,7384,5,7325,30,7472,N/A
G39,2000,11778,49,-1861,1905,5,1993,30,2144,N/A
G40,2000,11766,-102,-1878,1924,5,1982,30,2132,N/A
G41,2000,11785,44,-1931,1859,5,1995,30,2127,N/A
G42,2000,11779,78,-1773,1935,5,2061,30,2190,N/A
G43,1000,9990,4997,29,6342,5,6411,30,6489,7027
G44,1000,9990,4984,55,6232,5,6384,30,6486,7022
G45,1000,9990,4974,16,6341,5,6387,30,6485,7020
G46,1000,9990,4988,110,6304,5,6404,30,6490,N/A
G47,1000,9990,4948,62,6358,5,6410,30,6496,N/A
G48,3000,6000,3017,120,6000,5,4961,30,6000,6000
G49,3000,6000,2992,200,6000,5,4945,30,6000,6000
G50,3000,6000,2980,240,5850,5,4964,30,5868,5988
G51,1000,5909,2942,139,3715,5,3676,30,3760,N/A
G52,1000,5916,2974,130,3689,5,3675,30,3747,N/A
G53,1000,5914,2942,77,3697,5,3672,30,3747,N/A
G54,1000,5916,2947,136,3709,5,3663,30,3751,N/A
